City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,San Cristobal,VE,26.1,overcast clouds,7.7669,-72.225,Pirineos
4,Puerto Colombia,CO,31.05,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
7,Abu Dhabi,AE,31.01,clear sky,24.4667,54.3667,Beach Rotana
14,Padang,ID,24.47,overcast clouds,-0.9492,100.3543,Mercure Padang
17,Sao Filipe,CV,25.66,overcast clouds,14.8961,-24.4956,Hotel Xaguate
19,Touros,BR,25.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
20,Hithadhoo,MV,27.5,overcast clouds,-0.6,73.0833,Scoop Guest House
21,Pitimbu,BR,25.33,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
23,Praia,CV,26.3,broken clouds,14.9215,-23.5087,LT Aparthotel
25,Sinazongwe,ZM,25.2,clear sky,-17.2614,27.4618,Lakeview Lodge
27,Amapa,BR,30.93,overcast clouds,1.0,-52.0,
30,Vallenar,CL,25.48,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
33,El Doncello,CO,28.79,scattered clouds,1.6782,-75.2847,Colombia
38,Kaduna,NG,22.19,broken clouds,10.5222,7.4383,HAMDALA HOTEL
39,Vila Velha,BR,24.97,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
41,Kalabo,ZM,22.91,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
42,Manono,CD,24.29,overcast clouds,-7.3,27.4167,Hotel hewa bora
44,Thompson,CA,22.09,scattered clouds,55.7435,-97.8558,Burntwood Hotel
45,Puerto Del Rosario,ES,22.86,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
46,Tabou,CI,24.3,broken clouds,4.423,-7.3528,hotêl doufoulougou
47,Victoria,HK,28.51,few clouds,22.2855,114.1577,Mini Central
50,Georgetown,MY,26.96,light rain,5.4112,100.3354,Cititel Penang
51,Bathsheba,BB,28.34,scattered clouds,13.2167,-59.5167,Atlantis Hotel
56,Saint George,US,29.68,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
57,Cascais,PT,25.64,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
