City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,15.49,81,0,3.09,clear sky
1,San Cristobal,VE,7.7669,-72.225,26.1,48,89,3.29,overcast clouds
2,Asfi,MA,32.2994,-9.2372,21.86,76,0,1.5,clear sky
3,Codrington,AU,-38.2667,141.9667,7.66,89,100,1.92,overcast clouds
4,Puerto Colombia,CO,10.9878,-74.9547,31.05,72,39,5.94,scattered clouds
5,Ushuaia,AR,-54.8,-68.3,9.81,40,0,1.54,clear sky
6,Pangnirtung,CA,66.1451,-65.7125,0.45,51,0,2.42,clear sky
7,Abu Dhabi,AE,24.4667,54.3667,31.01,73,0,2.06,clear sky
8,Raudeberg,NO,61.9875,5.1352,11.37,1,38,8.45,scattered clouds
9,Bredasdorp,ZA,-34.5322,20.0403,11.96,91,3,2.59,clear sky
10,Dikson,RU,73.5069,80.5464,-1.01,92,100,9.15,light snow
11,Oregon,US,44.0001,-120.5014,19.9,30,0,1.84,clear sky
12,Forst,DE,51.7333,14.6333,11.42,91,7,5.23,clear sky
13,Castro,BR,-24.7911,-50.0119,17.85,81,59,1.59,broken clouds
14,Padang,ID,-0.9492,100.3543,24.47,93,100,1.26,overcast clouds
15,Nadvirna,UA,48.6348,24.5694,10.26,67,20,4.98,few clouds
16,Nieuwpoort,BE,51.1244,2.7735,12.79,90,20,1.03,few clouds
17,Sao Filipe,CV,14.8961,-24.4956,25.66,71,97,5.25,overcast clouds
18,Severodvinsk,RU,64.5635,39.8302,4.06,81,22,3.24,few clouds
19,Touros,BR,-5.1989,-35.4608,25.1,74,8,6.84,clear sky
20,Hithadhoo,MV,-0.6,73.0833,27.5,68,99,6.08,overcast clouds
21,Pitimbu,BR,-7.4706,-34.8086,25.33,75,25,5.71,scattered clouds
22,Bambous Virieux,MU,-20.3428,57.7575,21.79,73,75,4.12,broken clouds
23,Praia,CV,14.9215,-23.5087,26.3,69,75,6.17,broken clouds
24,Jamestown,US,42.097,-79.2353,14.45,72,75,4.47,broken clouds
25,Sinazongwe,ZM,-17.2614,27.4618,25.2,35,0,1.52,clear sky
26,Nuuk,GL,64.1835,-51.7216,2.34,75,40,2.57,scattered clouds
27,Amapa,BR,1.0,-52.0,30.93,47,96,2.61,overcast clouds
28,Chuy,UY,-33.6971,-53.4616,15.75,65,0,2.74,clear sky
29,Mar Del Plata,AR,-38.0023,-57.5575,12.01,73,0,8.75,light rain
30,Vallenar,CL,-28.5708,-70.7581,25.48,25,10,3.58,clear sky
31,Beloha,MG,-25.1667,45.05,20.11,70,0,0.27,clear sky
32,Upernavik,GL,72.7868,-56.1549,-5.34,87,12,4.66,few clouds
